YEAR,MO,DY,T2M_MAX,T2M_MIN,T2M,RH2M,PRECTOTCORR,WS10M_MAX,WS10M_MIN,WD10M
1985,9,21,30.69,23.15,25.97,86.5,5.19,2.18,1.02,149
1985,9,22,31.41,22.57,26.29,83.19,3.05,1.91,0.57,147.88
1985,9,23,31.06,22.69,26.4,82,5.76,1.94,0.77,176.88
1985,9,24,30.56,23.84,26.15,83.94,3.62,1.85,0.13,214.56
1985,9,25,30.18,23,25.8,84.94,1.36,1.82,0.74,293.69
1985,9,26,27.04,23.4,24.82,91.31,1.77,2.11,0.8,267.31
1985,9,27,29.47,22.81,25.3,87.69,1.57,2.88,0.98,270.31
1985,9,28,29.92,22.28,25.36,87.94,11.25,2.12,1.13,239.88
1985,9,29,29.46,22.82,25.62,83.12,4.32,2.08,1.05,213.12
1985,9,30,29.69,23.23,25.99,84.5,17.43,1.55,0.35,180.25
1985,10,1,29.99,22.44,25.65,85.44,25.53,1.61,0.91,173.81
1985,10,2,30.33,22.62,26.12,83.31,44.44,2.01,1.01,191.19
1985,10,3,27.87,22.89,25.23,87.06,15.76,1.91,0.9,203
1985,10,4,27.98,22.94,25.09,86.75,4.28,2.2,0.21,191.62
1985,10,5,30.36,23.08,26.1,82.38,0.25,1.98,0.11,184.19
1985,10,6,27.77,23.62,25.34,89.31,3.13,1.76,0.44,205.62
1985,10,7,30.98,23.23,25.73,86.31,4.08,1.33,0.33,217.19
1985,10,8,29.83,23.51,25.94,85.69,3.33,1.91,0.36,206
1985,10,9,28.14,22.54,24.98,92.12,6.32,1.84,0.83,228
1985,10,10,30.04,22.06,25.28,87.12,2.49,2.7,1.01,294.38
1985,10,11,27.95,23.08,24.84,91.31,2.46,2.13,1.15,256.19
1985,10,12,30.83,22.7,25.66,84.19,0.73,2.58,1.3,246.75
1985,10,13,29.94,22.46,25.78,82.44,2.2,2.2,1.16,230.62
1985,10,14,28.46,23.12,25.74,83.75,3.04,1.65,0.82,228
1985,10,15,32.57,23.12,27.14,78.94,0.01,1.48,0.14,210.56
1985,10,16,28.41,23.97,25.86,87,0.94,1.12,0.42,204.94
1985,10,17,29.15,22.9,25.49,88,0.72,2.07,0.81,139.25
1985,10,18,31.55,23.78,26.95,77.62,8.31,1.02,0.04,219.25
1985,10,19,30.7,23.57,26.68,78.75,3.2,1.55,0.12,241.81
1985,10,20,28.66,23.38,25.4,88.62,1.97,2.35,1,283.31
1985,10,21,28.35,22.35,24.9,90.19,1.99,1.78,1.09,281.62
1985,10,22,29.76,22.55,25.62,88.12,2.55,1.74,0.59,286.56
1985,10,23,28.76,23.17,25.17,88.94,2.14,1.37,0.49,298.38
1985,10,24,30.19,23.06,25.94,85.81,0.86,1.75,0.21,216.62
1985,10,25,30.93,22.41,25.8,85.81,0.53,2.28,0.47,245.88
1985,10,26,31.83,22.58,26.92,81,30.41,1.26,0.27,178.69
1985,10,27,31.64,22.4,26.66,82.69,9.62,1.34,0.59,135.69
1985,10,28,32.16,22.94,26.96,81.56,1.24,1.25,0.8,123.25
1985,10,29,31,22.98,26.05,86.25,2.59,1.09,0.63,166.5
1985,10,30,32.58,23.34,27.08,82.44,5.41,1.05,0.31,101.88
1985,10,31,31.87,22.61,26.48,83.88,2.89,1.13,0.28,39.38
1985,11,1,31.64,22.39,26.17,84.44,1.98,1.51,0.74,66.69
1985,11,2,28.39,23.19,25.2,90.94,28.46,1.66,1.18,46.38
1985,11,3,29.15,22.49,25.3,88.62,10.63,1.54,0.98,48.62
1985,11,4,30.43,21.97,25.74,85.06,11.74,1.3,0.28,102.94
1985,11,5,33.94,22.55,27.18,81.25,5.02,1.26,0.08,130.12
1985,11,6,30.55,23.2,26.23,85.38,5.92,1.1,0.52,239.12
1985,11,7,26.46,23.37,24.81,93.88,7,1.84,0.66,222.94
1985,11,8,31.08,22.71,26.37,85,2.02,1.62,0.13,226.31
1985,11,9,31.41,23.72,27.03,82.62,4.18,1.22,0.34,80.25
1985,11,10,34.05,22.54,26.92,84.5,36.08,1.09,0.35,173.88
