YEAR,MO,DY,HR,T2M,WS10M,PRECTOTCORR,RH2M
2014,5,30,10,30.98,1.05,0.11,62.19
2014,5,30,11,31.48,1.08,0.14,59.69
2014,5,30,12,31.73,1.3,0.12,58.75
2014,5,30,13,31.71,1.51,0.11,59.44
2014,5,30,14,31.55,1.56,0.1,61.25
2014,5,30,15,31.11,1.45,0.08,64.62
2014,5,30,16,30.49,1.2,0.07,71
2014,5,30,17,29.15,1.02,0.06,80.25
2014,5,30,18,27.17,1.14,0.06,91.44
2014,5,30,19,26.57,1.02,0.06,94.06
2014,5,30,20,26.26,1.01,0.06,95.75
2014,5,30,21,26.05,1.1,0.06,96.56
2014,5,30,22,25.89,1.15,0.05,96.81
2014,5,30,23,25.81,1.11,0.04,96.38
2014,5,31,0,25.83,0.95,0.04,95.38
2014,5,31,1,25.94,0.65,0.04,94.12
2014,5,31,2,26,0.42,0.04,92.94
2014,5,31,3,25.91,0.43,0.04,92.75
2014,5,31,4,25.66,0.75,0.03,93.56
2014,5,31,5,25.24,1.11,0.03,95.31
2014,5,31,6,25.29,1.13,0.03,97.06
2014,5,31,7,26.6,1.02,0.06,95.06
2014,5,31,8,28.02,1.22,0.09,85.81
2014,5,31,9,29.05,1.37,0.11,75.56
2014,5,31,10,30.05,1.52,0.15,70.12
2014,5,31,11,30.83,1.7,0.24,66.5
2014,5,31,12,31.32,1.84,0.24,64
2014,5,31,13,31.52,1.9,0.23,62.69
2014,5,31,14,31.33,1.86,0.18,63.19
2014,5,31,15,30.83,1.7,0.12,65.56
2014,5,31,16,30.08,1.37,0.09,70.69
2014,5,31,17,28.96,1.09,0.07,80.94
2014,5,31,18,26.9,1.35,0.06,89.25
2014,5,31,19,26.3,1.5,0.05,90.25
2014,5,31,20,25.96,1.51,0.05,90.75
2014,5,31,21,25.76,1.48,0.05,90.75
2014,5,31,22,25.82,1.36,0.06,89.5
2014,5,31,23,25.88,1.13,0.07,88.25
2014,6,1,0,25.81,0.92,0.08,88.06
2014,6,1,1,25.62,0.73,0.08,88.81
2014,6,1,2,25.34,0.6,0.09,90
2014,6,1,3,25.06,0.55,0.09,91.44
2014,6,1,4,24.74,0.62,0.08,93.06
2014,6,1,5,24.42,0.71,0.08,94.69
2014,6,1,6,24.74,0.5,0.07,97
2014,6,1,7,27.26,0.67,0.03,93.75
2014,6,1,8,30.16,1.07,0.04,74.5
2014,6,1,9,30.51,1.14,0.07,68.69
2014,6,1,10,30.97,1.32,0.07,65.5
2014,6,1,11,31.49,1.44,0.09,62.94
2014,6,1,12,31.58,1.53,0.1,62.69
2014,6,1,13,31.59,1.6,0.09,62.88
2014,6,1,14,31.16,1.57,0.09,65.06
2014,6,1,15,30.55,1.47,0.07,69
2014,6,1,16,29.79,1.18,0.06,75.88
2014,6,1,17,28.5,1.02,0.05,85.25
2014,6,1,18,26.94,1.16,0.05,92.5
2014,6,1,19,26.62,1.32,0.05,93.25
2014,6,1,20,26.44,1.36,0.05,93.44
2014,6,1,21,26.23,1.36,0.05,94
2014,6,1,22,25.95,1.36,0.05,95.19
2014,6,1,23,25.69,1.23,0.05,96.5
2014,6,2,0,25.46,1.1,0.05,97.56
2014,6,2,1,25.26,1.04,0.05,98.12
2014,6,2,2,25.12,1.03,0.05,98.44
2014,6,2,3,25.03,1.02,0.05,98.62
2014,6,2,4,24.98,0.99,0.05,98.5
2014,6,2,5,24.95,1.08,0.04,98
2014,6,2,6,25.19,0.97,0.03,98
2014,6,2,7,26.39,0.94,0.02,95.88
2014,6,2,8,27.58,1.16,0.02,88.12
2014,6,2,9,28.26,1.13,0.02,77.88
2014,6,2,10,29.12,1.15,0.03,71.88
2014,6,2,11,29.82,1.13,0.06,67.31
2014,6,2,12,30.44,0.97,0.08,63.81
2014,6,2,13,30.8,0.69,0.09,61.75
2014,6,2,14,30.98,0.54,0.07,61.81
2014,6,2,15,31.85,0.64,0.06,60.88
2014,6,2,16,31.71,0.74,0.05,63.31
2014,6,2,17,29.54,0.75,0.04,74.69
2014,6,2,18,27.92,0.92,0.03,80.12
2014,6,2,19,27.24,0.87,0.02,82.12
2014,6,2,20,26.75,0.84,0.02,84.62
2014,6,2,21,26.38,0.81,0.01,86.62
2014,6,2,22,26.18,0.71,0.01,87.06
2014,6,2,23,26.03,0.63,0.01,86.62
2014,6,3,0,25.69,0.73,0.01,87.62
2014,6,3,1,25.23,0.89,0.02,89.62
2014,6,3,2,24.9,0.95,0.03,90.75
2014,6,3,3,24.66,0.94,0.03,91.62
